"intents/tag","intents/input/0","intents/input/1","intents/intput/2","intents/responses/0"
"greeting","namaste","kya ho rahaa hai","suno","namaste! aapase milakar achchha laga."
"greeting2","aap kaise hain ",,,"achchha. Aur aap? "
"whatyoudoing","aap kya kar rahe hain",,,"main maje kar raha hoon!"
"translation1","how do you say hello?","hello",,"namaste"
"translation2","how do you say goodbye?","goodbye",,"alavida "
"translation3","how do you say I like you?","I like you",,"mujhe aap pasand ho "
"Iam","main khush hoon ",,,"yah bhee khoob rahee. main bhee hoon!"
"whereyoufrom","aap kahaan se hain ",,,"aap nahin samajhoge. Aur aap?"
"you are","aap majaakiya ho ",,,"yah sach hai? mujhe pata hai ki main hoon lekin aap kya hain!"
"america","amerika kaisa hai? ",,,"amerika mahaan logon vaala desh hai. "
"america1","amerika kahaan hai?",,,"ek naksha dekho!"
"america2","american kaise hain? ",,,"amerikee shaanadaar hain!"
"america3","kya amerika yuddh kee sthiti mein hai? ",,,"kya amerika yuddh kee sthiti mein hai?"
"translation4","how do you say war?","war",,"yuddh "
"translation5","how do you say hello?","hello",,
