open,3before,6before,3after
6.65316,4.32912,3.84776,40.404099
15.7081,4.07604,3.9986,43.019299
25.343901,3.77306,3.90945,70.856102
40.404099,6.65316,4.32912,55.1362
43.019299,15.7081,4.07604,55.7407
70.856102,25.343901,3.77306,88.003502
55.1362,40.404099,6.65316,231.666
55.7407,43.019299,15.7081,163.682007
88.003502,70.856102,25.343901,203.119003
231.666,55.1362,40.404099,116.904999
163.682007,55.7407,43.019299,148.343994
203.119003,88.003502,70.856102,118.028
116.904999,231.666,55.1362,81.503998
148.343994,163.682007,55.7407,80.3908
118.028,203.119003,88.003502,61.7388
81.503998,116.904999,231.666,61.098598
80.3908,148.343994,163.682007,49.562302
61.7388,118.028,203.119003,32.130596
61.098598,81.503998,116.904999,30.458393
49.562302,80.3908,148.343994,31.719522
32.130596,61.7388,118.028,46.235413
30.458393,61.098598,81.503998,60.769836
31.719522,49.562302,80.3908,74.303352
46.235413,32.130596,61.7388,114.466255
60.769836,30.458393,61.098598,122.114136
74.303352,31.719522,49.562302,98.566689
114.466255,46.235413,32.130596,64.558609
122.114136,60.769836,30.458393,56.089233
98.566689,74.303352,31.719522,58.746315
64.558609,114.466255,46.235413,47.463898
56.089233,122.114136,60.769836,41.326534
58.746315,98.566689,74.303352,67.908516
47.463898,64.558609,114.466255,58.530544
41.326534,56.089233,122.114136,39.284687
67.908516,58.746315,98.566689,46.714264
58.530544,47.463898,64.558609,45.57423
39.284687,41.326534,56.089233,41.43354
46.714264,67.908516,58.746315,57.998138
45.57423,58.530544,47.463898,61.105076
41.43354,39.284687,41.326534,46.233166
57.998138,46.714264,67.908516,55.59026
61.105076,45.57423,58.530544,87.576599
46.233166,41.43354,39.284687,124.672768
55.59026,57.998138,46.714264,129.5746
87.576599,61.105076,45.57423,164.983139
124.672768,46.233166,41.43354,197.524368
129.5746,55.59026,57.998138,271.14267
164.983139,87.576599,61.105076,188.117554
197.524368,124.672768,46.233166,144.136642
271.14267,129.5746,55.59026,144.509857
188.117554,164.983139,87.576599,171.465179
144.136642,197.524368,124.672768,152.384201
