Open,6after,3before,invest
4.32912,40.404099,3.84776,1
4.07604,43.019299,3.9986,1
3.77306,70.856102,3.90945,1
6.65316,55.1362,4.32912,1
15.7081,55.7407,4.07604,1
25.343901,88.003502,3.77306,1
40.404099,231.666,6.65316,1
43.019299,163.682007,15.7081,1
70.856102,203.119003,25.343901,1
55.1362,116.904999,40.404099,1
55.7407,148.343994,43.019299,1
88.003502,118.028,70.856102,1
231.666,81.503998,55.1362,0
163.682007,80.3908,55.7407,0
203.119003,61.7388,88.003502,0
116.904999,61.098598,231.666,0
148.343994,49.562302,163.682007,0
118.028,32.130596,203.119003,0
81.503998,30.458393,116.904999,0
80.3908,31.719522,148.343994,0
61.7388,46.235413,118.028,0
61.098598,60.769836,81.503998,0
49.562302,74.303352,80.3908,1
32.130596,114.466255,61.7388,1
30.458393,122.114136,61.098598,1
31.719522,98.566689,49.562302,1
46.235413,64.558609,32.130596,1
60.769836,56.089233,30.458393,0
74.303352,58.746315,31.719522,0
114.466255,47.463898,46.235413,0
122.114136,41.326534,60.769836,0
98.566689,67.908516,74.303352,0
64.558609,58.530544,114.466255,0
56.089233,39.284687,122.114136,0
58.746315,46.714264,98.566689,0
47.463898,45.57423,64.558609,0
41.326534,41.43354,56.089233,1
67.908516,57.998138,58.746315,0
58.530544,61.105076,47.463898,1
39.284687,46.233166,41.326534,1
46.714264,55.59026,67.908516,1
45.57423,87.576599,58.530544,1
41.43354,124.672768,39.284687,1
57.998138,129.5746,46.714264,1
61.105076,164.983139,45.57423,1
46.233166,197.524368,41.43354,1
55.59026,271.14267,57.998138,1
87.576599,188.117554,61.105076,1
124.672768,144.136642,46.233166,1
129.5746,144.509857,55.59026,1
164.983139,171.465179,87.576599,1
197.524368,152.384201,124.672768,0
